Node	Time	Spot_Price
3	1	35.49
3	2	35.07
3	3	34.91
3	4	34.54
3	5	34.94
3	6	36.16
3	7	36.93
3	8	36.71
3	9	36.83
3	10	36.87
3	11	36.82
3	12	31.93
3	13	29.45
3	14	30.23
3	15	36.08
3	16	36.89
3	17	36.77
3	18	36.72
3	19	36.69
3	20	36.53
3	21	36.62
3	22	36.77
3	23	36.42
3	24	36.37
4	1	35.05
4	2	35.08
4	3	35.12
4	4	35.51
4	5	38.68
4	6	42.64
4	7	48.91
4	8	92.99
4	9	75.38
4	10	59.97
4	11	42.89
4	12	42.48
4	13	39.83
4	14	39.26
4	15	38.5
4	16	37.72
4	17	39.02
4	18	39.66
4	19	39.65
4	20	39.18
4	21	37.24
4	22	35.84
4	23	35.75
4	24	35.96
5	1	39.55
5	2	37.75
5	3	32.0
5	4	30.2
5	5	38.95
5	6	42.21
5	7	43.53
5	8	44.44
5	9	43.79
5	10	42.09
5	11	38.0
5	12	31.58
5	13	19.9
5	14	28.75
5	15	37.18
5	16	37.18
5	17	38.23
5	18	39.48
5	19	38.64
5	20	37.92
5	21	36.44
5	22	32.99
5	23	32.63
5	24	34.71
6	1	73.2
6	2	64.15
6	3	57.62
6	4	53.89
6	5	52.38
6	6	57.43
6	7	86.73
6	8	119.47
6	9	129.63
6	10	125.2
6	11	108.38
6	12	95.47
6	13	87.1
6	14	76.86
6	15	84.31
6	16	99.37
6	17	104.23
6	18	127.78
6	19	128.46
6	20	126.29
6	21	121.95
6	22	110.6
6	23	95.29
6	24	70.08
7	1	2.56
7	2	2.11
7	3	2.2
7	4	2.69
7	5	3.07
7	6	4.92
7	7	11.07
7	8	15.37
7	9	13.94
7	10	6.99
7	11	3.79
7	12	1.14
7	13	-0.61
7	14	-0.07
7	15	1.15
7	16	3.73
7	17	8.35
7	18	7.56
7	19	5.55
7	20	4.84
7	21	4.92
7	22	4.7
7	23	2.69
7	24	2.94
8	1	38.18
8	2	37.76
8	3	35.6
8	4	33.15
8	5	31.95
8	6	34.16
8	7	35.35
8	8	29.47
8	9	22.26
8	10	1.51
8	11	-2.2
8	12	-6.0
8	13	-14.29
8	14	-15.07
8	15	-13.91
8	16	-2.54
8	17	14.35
8	18	27.01
8	19	34.23
8	20	32.57
8	21	31.73
8	22	31.11
8	23	30.12
8	24	32.64
9	1	23.24
9	2	23.19
9	3	22.99
9	4	22.99
9	5	22.99
9	6	23.92
9	7	24.99
9	8	25.52
9	9	25.52
9	10	25.49
9	11	25.2
9	12	25.16
9	13	24.94
9	14	24.52
9	15	24.24
9	16	24.19
9	17	24.23
9	18	24.23
9	19	24.2
9	20	24.19
9	21	23.94
9	22	24.5
9	23	24.42
9	24	23.7
10	1	39.3
10	2	39.19
10	3	39.03
10	4	38.9
10	5	38.69
10	6	38.57
10	7	36.15
10	8	29.97
10	9	9.94
10	10	4.07
10	11	1.6
10	12	1.18
10	13	0.44
10	14	0.09
10	15	1.74
10	16	14.05
10	17	35.46
10	18	39.19
10	19	39.27
10	20	39.35
10	21	39.19
10	22	39.09
10	23	38.83
10	24	38.68
11	1	50.09
11	2	48.77
11	3	49.55
11	4	49.56
11	5	52.65
11	6	55.42
11	7	56.66
11	8	59.09
11	9	61.78
11	10	61.68
11	11	61.8
11	12	61.89
11	13	62.61
11	14	62.92
11	15	63.9
11	16	88.97
11	17	105.07
11	18	123.47
11	19	113.66
11	20	104.19
11	21	89.13
11	22	81.83
11	23	64.4
11	24	62.19
12	1	-0.1
12	2	-0.14
12	3	-0.08
12	4	-0.04
12	5	3.34
12	6	25.96
12	7	27.47
12	8	30.89
12	9	31.27
12	10	29.74
12	11	28.82
12	12	29.9
12	13	30.89
12	14	33.97
12	15	35.62
12	16	35.7
12	17	36.32
12	18	36.4
12	19	35.78
12	20	36.0
12	21	35.6
12	22	34.55
12	23	34.15
12	24	31.13
13	1	53.52
13	2	52.58
13	3	52.23
13	4	51.82
13	5	51.35
13	6	52.35
13	7	59.93
13	8	85.66
13	9	87.03
13	10	76.27
13	11	67.81
13	12	59.12
13	13	53.52
13	14	51.42
13	15	51.79
13	16	54.81
13	17	55.93
13	18	66.77
13	19	65.53
13	20	55.65
13	21	52.57
13	22	51.54
13	23	50.53
13	24	50.13
14	1	36.44
14	2	36.49
14	3	34.73
14	4	35.22
14	5	35.48
14	6	35.32
14	7	41.01
14	8	42.8
14	9	44.31
14	10	43.78
14	11	43.01
14	12	42.51
14	13	42.52
14	14	42.67
14	15	43.45
14	16	45.06
14	17	45.65
14	18	46.09
14	19	46.18
14	20	45.87
14	21	45.49
14	22	45.71
14	23	44.89
14	24	44.79
