Node	Time	Intraday_Price
3	1	13.536921327281899
3	2	16.01811990290744
3	3	15.170903027455804
3	4	11.465216316041912
3	5	14.846477519149268
3	6	16.963548952061092
3	7	16.7487599885946
3	8	19.800360877092043
3	9	18.83195676757982
3	10	26.14751586780279
3	11	19.63101948233518
3	12	8.370282390264064
3	13	12.143670025659844
3	14	15.575894745972775
3	15	14.930948199944051
3	16	10.713463551065566
3	17	9.88957095281228
3	18	17.7312931561149
3	19	26.771397286009048
3	20	25.536445843233867
3	21	14.131332184458435
3	22	15.988906055944014
3	23	11.941225964526126
3	24	4.876829872011655
4	1	20.125363396228373
4	2	23.083329983315647
4	3	21.54996678329402
4	4	18.260555738316842
4	5	11.632842474886052
4	6	26.44922537383276
4	7	29.51945407832095
4	8	19.598585748631148
4	9	15.742287978153527
4	10	30.49295818272204
4	11	17.625469204760243
4	12	25.89996101444594
4	13	32.99018289176453
4	14	35.994290963204925
4	15	18.544910361942428
4	16	22.348729086639473
4	17	23.453805841218802
4	18	21.051202943184165
4	19	24.756289109532656
4	20	15.90217562038739
4	21	24.267122584289414
4	22	17.144012046555464
4	23	29.513276496629853
4	24	21.361740960219677
5	1	51.85207083913968
5	2	117.66381503658006
5	3	130.0859354487775
5	4	75.38294138838909
5	5	89.95562137573026
5	6	69.72928100700797
5	7	88.98664068558094
5	8	89.92487184002128
5	9	155.00095321611514
5	10	57.08989739030162
5	11	104.20949089921379
5	12	43.02776886403018
5	13	111.55784510049101
5	14	110.14646319649182
5	15	131.83523387602145
5	16	119.0484952275145
5	17	109.20251403554131
5	18	123.84203632092041
5	19	104.58470357143023
5	20	117.52230778607324
5	21	136.8314643660707
5	22	108.58891912501984
5	23	120.35053000728436
5	24	84.20863801215549
6	1	56.21274615972801
6	2	40.22231021530082
6	3	39.97527321856162
6	4	50.33466667304858
6	5	53.18124264444445
6	6	102.52627078956945
6	7	65.55193729540471
6	8	105.75606709766349
6	9	74.73947768048015
6	10	52.93615110887646
6	11	97.00382212487392
6	12	76.88340863452093
6	13	107.63919669872689
6	14	72.58365953301751
6	15	106.06489719287467
6	16	99.214261297857
6	17	109.79724942947027
6	18	112.24235345451835
6	19	104.29573841367124
6	20	62.97148635187917
6	21	83.8044920249745
6	22	89.99957529568364
6	23	64.64966986348584
6	24	86.07161842087064
7	1	41.28564041181579
7	2	41.580802780301205
7	3	53.77741002843835
7	4	32.92143439328849
7	5	39.504825668867376
7	6	30.483909310894564
7	7	24.123716675034515
7	8	56.736154674623315
7	9	65.31236149120787
7	10	62.31331421456645
7	11	67.90284983380562
7	12	48.78661737694165
7	13	43.33710610257674
7	14	33.73598099996815
7	15	36.111550970240316
7	16	33.69683992532789
7	17	42.103403206897625
7	18	44.213769837828885
7	19	61.06147636150171
7	20	58.234626016339625
7	21	45.21359802949729
7	22	36.19008031714778
7	23	31.738471768841382
7	24	41.82976579502072
8	1	19.56545307137108
8	2	28.514462293165316
8	3	11.8349375488108
8	4	23.435992156639184
8	5	19.330819757766445
8	6	17.94067936216792
8	7	15.31501272324778
8	8	28.94686552129569
8	9	23.46743531307939
8	10	15.637645409863902
8	11	16.731665680461784
8	12	23.78673851946532
8	13	22.0120150871989
8	14	19.57361670786242
8	15	20.57870331336572
8	16	16.47477368582837
8	17	17.85288703459316
8	18	20.505975110173118
8	19	14.055364945234205
8	20	18.056994916709396
8	21	21.820262950910806
8	22	15.944135715875806
8	23	17.188003279711662
8	24	21.788669317513573
9	1	22.843780755957912
9	2	30.503465699218925
9	3	20.336365198838056
9	4	17.916611406949674
9	5	23.555586284702933
9	6	27.85909613167674
9	7	29.194833917340393
9	8	54.77966653126704
9	9	32.26684382743294
9	10	51.284036253647905
9	11	35.21041370373785
9	12	29.727658896366247
9	13	39.04933250720016
9	14	21.871838593113562
9	15	28.126168367951077
9	16	28.403032904014797
9	17	27.717865416492327
9	18	37.854280075319416
9	19	31.940498403503966
9	20	25.36722607182444
9	21	24.01159428743105
9	22	27.488992827256222
9	23	29.618875288998858
9	24	28.911213012745222
10	1	38.68035851905324
10	2	24.127025822318643
10	3	60.22565552962713
10	4	44.21615377911794
10	5	46.715668454287034
10	6	43.28186769025836
10	7	67.22388272724105
10	8	131.29867923907918
10	9	108.1102834585036
10	10	47.03987563606424
10	11	30.269981446322227
10	12	43.63021044467212
10	13	31.44312703731022
10	14	55.5473744737263
10	15	45.56120404571154
10	16	61.26322313930061
10	17	70.33515669667153
10	18	81.58342174796054
10	19	175.1498376092647
10	20	60.04267686890641
10	21	40.33798664288892
10	22	34.18329587150386
10	23	14.358130158807485
10	24	39.33328687068003
11	1	46.57437165377655
11	2	50.30298847653905
11	3	69.49620482931505
11	4	47.02565593831069
11	5	47.402117540024975
11	6	47.04226878728366
11	7	50.962864730136864
11	8	65.07955734587337
11	9	56.20383127068814
11	10	61.691794433507766
11	11	49.863594356970374
11	12	53.43918189661154
11	13	17.926107178677583
11	14	56.792633249822565
11	15	44.03466038390202
11	16	49.497210673661726
11	17	41.69852096561277
11	18	58.152940462603
11	19	53.713431596112066
11	20	70.19701799959341
11	21	53.604773734773545
11	22	48.77843943939218
11	23	58.37886585005104
11	24	51.905850675005084
12	1	36.362548415252355
12	2	49.321706805578344
12	3	45.86527738416988
12	4	56.10608402960805
12	5	50.110687747818
12	6	29.152609886299185
12	7	74.85054221419674
12	8	173.9331197158308
12	9	129.87855050836927
12	10	366.88738588609584
12	11	278.4450096287461
12	12	298.9744856481146
12	13	251.95680264646342
12	14	181.9143653980293
12	15	304.8156066379577
12	16	206.55201867430225
12	17	203.79609338879854
12	18	179.81913905429118
12	19	199.09822131813493
12	20	159.3239779999167
12	21	133.81788019273213
12	22	97.09415761201522
12	23	110.9957790256256
12	24	120.1266833745266
13	1	67.94718146512614
13	2	35.713258566610946
13	3	87.22195737552272
13	4	71.22370396925332
13	5	49.824345934872646
13	6	49.95222160571895
13	7	63.24239133526427
13	8	80.8849455072991
13	9	84.30445904439347
13	10	86.41987671683297
13	11	43.95791508482797
13	12	87.98613639261319
13	13	63.66771921801635
13	14	79.84382589640661
13	15	60.71352252345128
13	16	59.373073001294465
13	17	50.16033303790784
13	18	78.99530234489762
13	19	75.92622237908083
