Technology	CostExpansion
Power_Grid	9000000.0
ElectricBoiler	224.88299999999998
HP_LT	2228.4449999999997
HP_MT	2674.134
PV	1680.111
P2G	1967.445
G2P	4902.75
GasBoiler	125.514
GasBoiler_CCS	2023.794
CHP	2497.743
CHP_CCS	4396.023
Biogas_Grid	9000000.0
CH4_Grid	9000000.0
CH4_H2_Mixer	0.0
DieselReserveGenerator	903.7080000000001
H2_Grid	9000000.0
Direct_Firing	45.884789999999995
