Node	Time	ActivationDownPrice
17	9	38.86
17	10	35.51
17	11	37.4
17	12	33.52
17	13	27.0
17	14	22.28
17	15	22.28
17	16	30.16
17	17	42.86
17	18	50.69
17	19	55.01
17	20	36.0
17	21	36.0
17	22	32.0
17	23	32.0
17	24	31.0
18	1	-2.0
18	2	-4.0
18	3	-4.0
18	4	-7.0
18	5	-7.0
18	6	-3.0
18	7	-0.5
18	8	-0.5
18	9	5.5
18	10	20.29
18	11	24.99
18	12	33.5
18	13	30.46
18	14	24.99
18	15	8.0
18	16	8.0
18	17	8.0
18	18	1.0
18	19	1.0
18	20	14.88
18	21	14.39
18	22	8.0
18	23	8.0
18	24	8.0
19	1	68.98
19	2	68.03
19	3	68.53
19	4	68.66
19	5	69.56
19	6	67.67
19	7	67.35
19	8	61.0
19	9	59.02
19	10	50.98
19	11	44.01
19	12	43.42
19	13	42.64
19	14	43.05
19	15	45.12
19	16	52.72
19	17	61.47
19	18	63.77
19	19	69.67
19	20	68.3
19	21	65.2
19	22	60.0
19	23	56.0
19	24	48.0
20	1	29.88
20	2	29.27
20	3	29.06
20	4	28.9
20	5	24.0
20	6	27.03
20	7	27.69
20	8	29.78
20	9	30.33
20	10	31.08
20	11	17.19
20	12	3.24
20	13	0.04
20	14	0.0
20	15	1.05
20	16	14.85
20	17	29.02
20	18	28.9
20	19	28.89
20	20	28.42
20	21	13.54
20	22	5.0
20	23	-4.0
20	24	-4.0
21	1	32.94
21	2	32.62
21	3	32.34
21	4	32.29
21	5	32.35
21	6	32.3
21	7	32.9
21	8	33.14
21	9	33.81
21	10	35.48
21	11	35.0
21	12	7.0
21	13	4.0
21	14	2.92
21	15	2.0
21	16	1.0
21	17	27.5
21	18	33.91
21	19	35.01
21	20	35.78
21	21	30.0
21	22	28.0
21	23	26.5
21	24	24.5
22	1	-0.03
22	2	-0.06
22	3	-0.07
22	4	-0.05
22	5	0.09
22	6	1.95
22	7	3.68
22	8	-1.0
22	9	6.6
22	10	-2.0
22	11	-3.0
22	12	-4.0
22	13	-6.0
22	14	-6.0
22	15	-4.0
22	16	3.6
22	17	-1.0
22	18	0.0
22	19	0.5
22	20	-1.0
22	21	-2.0
22	22	-3.0
22	23	-6.0
22	24	-6.0
23	1	71.41
23	2	71.23
23	3	65.5
23	4	65.0
23	5	68.89
23	6	74.08
23	7	84.25
23	8	110.0
23	9	80.15
23	10	80.55
23	11	97.79
23	12	91.87
23	13	89.38
23	14	90.98
23	15	77.0
23	16	77.0
23	17	77.0
23	18	105.53
23	19	97.0
23	20	86.06
23	21	83.2
23	22	80.61
23	23	75.6
23	24	65.98
24	1	51.0
24	2	50.0
24	3	48.0
24	4	46.0
24	5	46.0
24	6	46.0
24	7	47.0
24	8	51.5
24	9	51.5
24	10	56.0
24	11	66.58
24	12	62.92
24	13	57.42
24	14	57.41
24	15	56.01
24	16	57.01
24	17	59.25
24	18	59.96
24	19	59.96
24	20	58.67
24	21	56.13
24	22	56.81
24	23	56.05
24	24	55.18
25	1	59.47
25	2	51.72
25	3	49.67
25	4	49.34
25	5	49.4
25	6	54.87
25	7	72.36
25	8	173.59
25	9	282.91
25	10	293.71
25	11	274.62
25	12	257.16
25	13	251.86
25	14	239.75
25	15	292.25
25	16	299.02
25	17	343.77
25	18	349.4
25	19	229.71
25	20	205.93
25	21	134.64
25	22	113.27
25	23	103.32
25	24	94.51
26	1	43.0
26	2	43.0
26	3	41.99
26	4	40.13
26	5	39.91
26	6	43.14
26	7	47.26
26	8	49.72
26	9	49.61
26	10	48.15
26	11	46.69
26	12	43.95
26	13	40.02
26	14	43.16
26	15	44.69
26	16	47.2
26	17	49.71
26	18	51.56
26	19	53.56
26	20	53.77
26	21	53.77
26	22	53.74
26	23	53.85
26	24	54.98
27	1	59.47
27	2	51.72
27	3	49.67
27	4	49.34
27	5	49.4
27	6	54.87
27	7	72.36
27	8	173.59
27	9	282.91
27	10	293.71
27	11	274.62
27	12	257.16
27	13	251.86
27	14	239.75
27	15	292.25
27	16	299.02
27	17	343.77
27	18	349.4
27	19	229.71
27	20	205.93
27	21	134.64
27	22	113.27
27	23	103.32
27	24	94.51
28	1	35.0
28	2	25.64
28	3	24.3
28	4	23.91
28	5	25.15
28	6	35.97
28	7	39.53
28	8	71.77
28	9	78.52
28	10	57.38
28	11	48.27
28	12	43.81
28	13	43.54
28	14	37.79
28	15	37.07
28	16	37.32
28	17	38.29
28	18	40.05
28	19	43.62
28	20	38.69
28	21	38.01
28	22	38.02
28	23	37.55
28	24	35.63
29	1	28.73
29	2	30.31
29	3	30.01
29	4	30.19
29	5	31.94
29	6	33.08
29	7	34.19
29	8	37.29
29	9	30.5
29	10	35.0
29	11	37.0
29	12	37.65
29	13	36.63
29	14	35.88
29	15	25.0
29	16	27.0
29	17	32.24
29	18	30.35
29	19	27.99
29	20	24.65
29	21	19.25
29	22	14.42
29	23	10.24
29	24	2.4
30	1	72.0
30	2	72.0
30	3	69.0
30	4	69.0
30	5	71.0
30	6	74.0
30	7	72.0
30	8	107.84
30	9	76.0
30	10	76.0
30	11	110.9
30	12	107.95
30	13	93.55
30	14	73.0
30	15	73.0
30	16	75.0
30	17	99.52
30	18	104.68
30	19	103.26
30	20	94.53
30	21	86.97
30	22	80.54
30	23	77.43
30	24	61.0
31	1	8.0
31	2	1.0
31	3	1.0
31	4	0.0
31	5	3.0
31	6	10.0
31	7	28.5
31	8	39.0
31	9	31.45
31	10	18.47
31	11	8.0
31	12	4.0
31	13	0.0
31	14	1.51
31	15	6.55
31	16	7.0
31	17	24.0
31	18	24.0
31	19	30.0
31	20	41.99
31	21	41.92
31	22	37.87
31	23	18.1
31	24	8.0
32	1	21.63
32	2	21.34
32	3	20.64
32	4	20.33
32	5	20.23
32	6	20.48
32	7	21.63
32	8	22.25
32	9	22.26
32	10	13.4
32	11	1.5
32	12	1.5
