Node	Time	ActivationUpPrice
17	11	38.67
17	12	36.7
17	13	35.0
17	14	36.0
17	15	39.0
17	16	45.0
17	17	45.0
17	18	45.0
17	19	42.0
17	20	40.0
17	21	32.0
17	22	24.08
17	23	20.62
17	24	21.94
18	1	42.5
18	2	42.5
18	3	42.0
18	4	40.0
18	5	41.0
18	6	41.0
18	7	41.0
18	8	38.0
18	9	39.87
18	10	40.75
18	11	40.02
18	12	37.65
18	13	39.5
18	14	35.88
18	15	34.46
18	16	32.86
18	17	32.24
18	18	41.0
18	19	41.0
18	20	40.5
18	21	37.0
18	22	39.0
18	23	38.0
18	24	15.02
19	1	61.48
19	2	59.04
19	3	64.0
19	4	65.0
19	5	63.0
19	6	53.64
19	7	60.0
19	8	60.0
19	9	63.0
19	10	63.5
19	11	63.0
19	12	65.0
19	13	69.0
19	14	69.0
19	15	58.02
19	16	64.0
19	17	65.0
19	18	71.0
19	19	71.0
19	20	68.5
19	21	63.5
19	22	56.7
19	23	56.06
19	24	55.03
20	1	22.91
20	2	21.19
20	3	15.2
20	4	16.66
20	5	17.82
20	6	16.73
20	7	19.72
20	8	25.55
20	9	21.42
20	10	26.0
20	11	28.97
20	12	29.76
20	13	29.63
20	14	28.41
20	15	26.25
20	16	27.44
20	17	29.09
20	18	28.95
20	19	29.77
20	20	26.01
20	21	26.89
20	22	23.71
20	23	23.45
20	24	22.6
21	1	51.43
21	2	49.92
21	3	48.0
21	4	46.68
21	5	48.27
21	6	51.57
21	7	59.05
21	8	76.79
21	9	81.41
21	10	72.86
21	11	70.0
21	12	68.0
21	13	60.47
21	14	58.27
21	15	61.91
21	16	64.66
21	17	67.62
21	18	74.18
21	19	94.81
21	20	77.66
21	21	68.0
21	22	64.0
21	23	64.0
21	24	60.0
22	1	53.8
22	2	53.17
22	3	53.2
22	4	53.21
22	5	54.56
22	6	57.22
22	7	64.5
22	8	69.07
22	9	74.4
22	10	70.0
22	11	67.0
22	12	62.2
22	13	61.6
22	14	61.35
22	15	61.82
22	16	61.85
22	17	62.63
22	18	64.85
22	19	68.88
22	20	66.35
22	21	60.42
22	22	58.85
22	23	58.04
22	24	55.06
23	1	29.0
23	2	29.0
23	3	16.72
23	4	23.73
23	5	24.1
23	6	23.37
23	7	11.89
23	8	19.5
23	9	17.38
23	10	20.76
23	11	23.32
23	12	27.8
23	13	25.23
23	14	25.3
23	15	28.5
23	16	30.07
23	17	34.02
23	18	32.91
23	19	32.79
23	20	32.22
23	21	29.95
23	22	27.95
23	23	26.98
23	24	25.91
24	1	88.83
24	2	83.09
24	3	80.0
24	4	80.17
24	5	82.49
24	6	88.14
24	7	109.79
24	8	165.01
24	9	299.01
24	10	249.12
24	11	255.86
24	12	211.511
24	13	203.28
24	14	196.98
24	15	197.86
24	16	299.94
24	17	449.64
24	18	526.25
24	19	349.95
24	20	181.91
24	21	149.6
24	22	112.82
24	23	100.1
24	24	92.87
25	1	18.08
25	2	22.5
25	3	22.5
25	4	20.0
25	5	18.0
25	6	17.0
25	7	19.95
25	8	29.44
25	9	32.57
25	10	31.16
25	11	31.21
25	12	30.94
25	13	37.0
25	14	37.0
25	15	34.0
25	16	38.0
25	17	38.0
25	18	39.0
25	19	39.0
25	20	38.5
25	21	39.0
25	22	38.0
25	23	37.5
25	24	32.0
26	1	51.43
26	2	49.92
26	3	48.0
26	4	46.68
26	5	48.27
26	6	51.57
26	7	59.05
26	8	76.79
26	9	81.41
26	10	72.86
26	11	70.0
26	12	68.0
26	13	60.47
26	14	58.27
26	15	61.91
26	16	64.66
26	17	67.62
26	18	74.18
26	19	94.81
26	20	77.66
26	21	68.0
26	22	64.0
26	23	64.0
26	24	60.0
27	1	57.52
27	2	57.09
27	3	56.57
27	4	56.05
27	5	56.2
27	6	55.96
27	7	56.05
27	8	56.79
27	9	56.26
27	10	54.9
27	11	51.45
27	12	48.56
27	13	42.91
27	14	45.26
27	15	51.93
27	16	55.13
27	17	57.93
27	18	57.86
27	19	57.33
27	20	56.61
27	21	55.96
27	22	55.39
27	23	55.31
27	24	54.26
28	1	61.84
28	2	60.0
28	3	60.0
28	4	60.0
28	5	55.93
28	6	64.13
28	7	86.06
28	8	117.0
28	9	134.23
28	10	162.35
28	11	159.25
28	12	162.09
28	13	151.5
28	14	160.92
28	15	168.91
28	16	183.47
28	17	187.78
28	18	162.76
28	19	140.11
28	20	130.0
28	21	130.0
28	22	88.3
28	23	84.5
28	24	80.0
29	1	74.5
29	2	74.5
29	3	68.0
29	4	65.5
29	5	65.0
29	6	70.0
29	7	150.0
29	8	150.0
29	9	104.419
29	10	94.0
29	11	87.0
29	12	87.0
29	13	164.0
29	14	164.0
29	15	77.5
29	16	77.5
29	17	77.0
29	18	108.0
29	19	200.0
29	20	200.0
29	21	100.0
29	22	75.0
29	23	63.75
29	24	59.94
30	1	65.0
30	2	74.0
30	3	62.03
30	4	62.34
30	5	62.33
30	6	62.35
30	7	63.35
30	8	62.64
30	9	76.0
30	10	64.74
30	11	65.72
30	12	67.47
30	13	67.27
30	14	66.18
30	15	78.5
30	16	77.0
30	17	68.92
30	18	86.2
30	19	84.91
30	20	77.0
30	21	65.28
30	22	64.18
30	23	63.38
30	24	61.93
31	1	100.0
31	2	100.0
31	3	96.0
31	4	92.0
31	5	92.0
31	6	92.0
31	7	92.0
31	8	90.0
31	9	85.0
31	10	90.0
31	11	102.0
31	12	102.0
31	13	100.0
31	14	100.0
31	15	100.0
31	16	100.0
31	17	100.0
31	18	201.11
31	19	260.0
31	20	179.0
31	21	114.0
31	22	114.0
31	23	114.0
31	24	113.0
32	1	100.0
32	2	100.0
32	3	96.0
32	4	92.0
32	5	92.0
32	6	92.0
32	7	92.0
32	8	90.0
32	9	85.0
32	10	90.0
32	11	102.0
32	12	102.0
32	13	100.0
32	14	100.0
32	15	100.0
32	16	100.0
32	17	100.0
32	18	201.11
32	19	260.0
32	20	179.0
32	21	114.0
32	22	114.0
32	23	114.0
32	24	113.0
33	1	38.68
33	2	33.44
33	3	37.55
33	4	38.66
33	5	44.11
33	6	48.08
33	7	50.98
33	8	56.96
33	9	79.29
33	10	71.63
33	11	67.21
33	12	65.3
33	13	57.85
33	14	55.8
33	15	54.77
33	16	54.03
33	17	53.56
33	18	53.28
33	19	52.41
33	20	49.42
33	21	47.62
33	22	45.4
33	23	43.99
33	24	42.16
34	1	26.0
34	2	21.82
34	3	24.0
34	4	24.0
34	5	24.0
34	6	24.0
34	7	25.87
34	8	33.0
34	9	35.0
34	10	35.0
34	11	28.31
34	12	28.24
34	13	28.14
34	14	33.0
34	15	36.72
34	16	45.0
34	17	45.0
34	18	45.5
34	19	45.5
34	20	44.5
34	21	40.5
34	22	39.5
34	23	37.5
34	24	32.5
35	1	32.0
35	2	31.0
35	3	30.0
35	4	30.0
35	5	30.0
35	6	29.35
35	7	27.69
35	8	32.08
35	9	34.98
35	10	37.62
35	11	38.67
35	12	36.7
35	13	35.0
35	14	36.0
35	15	39.0
35	16	45.0
35	17	45.0
35	18	45.0
35	19	42.0
35	20	40.0
35	21	32.0
35	22	24.08
35	23	20.62
35	24	21.94
36	1	56.0
36	2	56.0
36	3	60.0
36	4	60.0
36	5	66.0
36	6	66.0
36	7	81.0
36	8	97.0
36	9	116.0
36	10	88.0
36	11	77.0
36	12	66.83
36	13	62.95
36	14	59.27
36	15	60.0
36	16	60.0
36	17	50.94
36	18	50.83
36	19	64.0
36	20	52.0
36	21	52.0
36	22	50.0
36	23	49.0
36	24	47.0
37	1	55.83
37	2	55.65
37	3	55.51
37	4	55.05
37	5	54.96
37	6	55.68
37	7	60.12
37	8	92.67
37	9	92.81
37	10	78.3
37	11	76.0
37	12	76.0
37	13	73.0
37	14	60.0
37	15	60.0
37	16	65.0
37	17	65.0
37	18	65.0
37	19	61.0
37	20	60.5
37	21	56.13
37	22	56.81
37	23	56.05
37	24	55.18
38	1	87.0
38	2	80.0
38	3	80.0
38	4	73.5
38	5	72.24
38	6	70.85
38	7	69.22
38	8	70.56
38	9	72.52
38	10	73.31
38	11	80.0
38	12	80.0
38	13	70.56
38	14	67.89
38	15	69.94
38	16	70.71
38	17	72.84
38	18	86.0
38	19	92.0
38	20	85.0
38	21	80.5
38	22	79.0
38	23	81.0
38	24	81.0
39	1	62.8
39	2	60.82
39	3	58.49
39	4	55.94
39	5	54.75
39	6	52.16
39	7	57.95
39	8	72.0
39	9	74.186
