Node	Time	Spot_Price
17	10	54.83
17	11	58.65
17	12	52.07
17	13	42.08
17	14	36.02
17	15	37.08
17	16	42.01
17	17	40.7
17	18	42.08
17	19	42.63
17	20	42.65
17	21	42.03
17	22	42.1
17	23	38.89
17	24	32.06
18	1	-0.03
18	2	-0.06
18	3	-0.07
18	4	-0.05
18	5	0.09
18	6	1.95
18	7	3.68
18	8	6.05
18	9	6.6
18	10	4.41
18	11	4.1
18	12	3.96
18	13	1.18
18	14	2.28
18	15	3.08
18	16	3.6
18	17	4.18
18	18	4.58
18	19	4.21
18	20	3.31
18	21	2.52
18	22	1.11
18	23	0.15
18	24	-0.04
19	1	19.57
19	2	19.43
19	3	19.73
19	4	19.51
19	5	19.43
19	6	19.57
19	7	20.78
19	8	22.25
19	9	20.93
19	10	18.21
19	11	4.97
19	12	4.26
19	13	-0.02
19	14	1.92
19	15	4.98
19	16	16.54
19	17	21.92
19	18	25.88
19	19	25.76
19	20	25.12
19	21	24.91
19	22	24.02
19	23	22.58
19	24	23.19
20	1	4.94
20	2	4.66
20	3	4.45
20	4	4.34
20	5	4.37
20	6	10.01
20	7	10.01
20	8	12.53
20	9	13.95
20	10	15.0
20	11	10.15
20	12	5.04
20	13	4.28
20	14	10.01
20	15	10.01
20	16	15.72
20	17	16.8
20	18	16.97
20	19	17.03
20	20	16.81
20	21	16.29
20	22	15.71
20	23	14.95
20	24	15.57
21	1	71.65
21	2	71.51
21	3	69.94
21	4	69.16
21	5	68.47
21	6	69.59
21	7	77.6
21	8	71.99
21	9	85.47
21	10	76.64
21	11	71.99
21	12	69.86
21	13	68.6
21	14	66.81
21	15	68.04
21	16	69.68
21	17	77.4
21	18	90.66
21	19	81.21
21	20	78.4
21	21	74.97
21	22	71.84
21	23	71.13
21	24	77.24
22	1	27.48
22	2	17.02
22	3	9.11
22	4	4.09
22	5	1.87
22	6	4.73
22	7	2.22
22	8	-0.08
22	9	-2.01
22	10	-7.6
22	11	-15.0
22	12	-24.77
22	13	-32.69
22	14	-37.13
22	15	-28.68
22	16	-4.99
22	17	15.91
22	18	26.57
22	19	35.97
22	20	38.14
22	21	39.58
22	22	40.0
22	23	39.09
22	24	37.15
23	1	21.46
23	2	21.18
23	3	21.1
23	4	21.07
23	5	21.1
23	6	22.87
23	7	25.39
23	8	26.25
23	9	27.53
23	10	28.17
23	11	22.75
23	12	20.3
23	13	16.33
23	14	20.43
23	15	23.23
23	16	27.51
23	17	28.04
23	18	27.67
23	19	26.0
23	20	25.48
23	21	24.65
23	22	24.1
23	23	24.07
23	24	22.82
24	1	35.49
24	2	35.07
24	3	34.91
24	4	34.54
24	5	34.94
24	6	36.16
24	7	36.93
24	8	36.71
24	9	36.83
24	10	36.87
24	11	36.82
24	12	31.93
24	13	29.45
24	14	30.23
24	15	36.08
24	16	36.89
24	17	36.77
24	18	36.72
24	19	36.69
24	20	36.53
24	21	36.62
24	22	36.77
24	23	36.42
24	24	36.37
25	1	35.11
25	2	34.42
25	3	34.83
25	4	33.29
25	5	34.19
25	6	38.44
25	7	41.12
25	8	41.2
25	9	38.86
25	10	35.51
25	11	37.4
25	12	39.49
25	13	39.18
25	14	38.84
25	15	39.16
25	16	39.24
25	17	42.86
25	18	50.69
25	19	55.01
25	20	57.5
25	21	55.93
25	22	47.0
25	23	44.4
25	24	36.69
26	1	21.63
26	2	21.34
26	3	20.64
26	4	20.33
26	5	20.23
26	6	20.48
26	7	21.63
26	8	22.25
26	9	22.26
26	10	23.03
26	11	21.75
26	12	15.15
26	13	6.41
26	14	4.1
26	15	20.98
26	16	23.03
26	17	23.75
26	18	23.22
26	19	23.03
26	20	22.9
26	21	22.26
26	22	22.35
26	23	22.93
26	24	19.74
27	1	39.35
27	2	39.23
27	3	39.15
27	4	39.2
27	5	39.93
27	6	42.27
27	7	43.25
27	8	43.33
27	9	42.39
27	10	41.82
27	11	42.39
27	12	42.18
27	13	41.84
27	14	41.74
27	15	40.83
27	16	42.01
27	17	42.83
27	18	43.01
27	19	42.66
27	20	42.18
27	21	41.54
27	22	39.73
27	23	38.4
27	24	39.45
28	1	34.72
28	2	35.09
28	3	35.88
28	4	35.91
28	5	36.76
28	6	41.32
28	7	46.44
28	8	48.99
28	9	48.54
28	10	46.62
28	11	43.57
28	12	42.43
28	13	41.59
28	14	40.13
28	15	39.97
28	16	40.97
28	17	43.94
28	18	43.72
28	19	43.58
28	20	43.12
28	21	43.09
28	22	42.77
28	23	42.11
28	24	37.93
29	1	57.79
29	2	51.72
29	3	49.67
29	4	49.34
29	5	49.4
29	6	54.87
29	7	72.36
29	8	173.59
29	9	282.91
29	10	293.71
29	11	274.62
29	12	257.16
29	13	251.86
29	14	239.75
29	15	292.25
29	16	299.02
29	17	343.77
29	18	349.4
29	19	229.71
29	20	205.93
29	21	134.64
29	22	113.27
29	23	103.32
29	24	94.51
30	1	22.43
30	2	21.82
30	3	16.88
30	4	16.77
30	5	18.29
30	6	21.71
30	7	24.37
30	8	26.02
30	9	26.99
30	10	28.23
30	11	28.31
30	12	28.24
30	13	28.14
30	14	28.36
30	15	29.61
30	16	32.07
30	17	32.23
30	18	32.03
30	19	30.88
30	20	29.84
30	21	28.33
30	22	26.58
30	23	25.37
30	24	23.79
31	1	69.89
31	2	69.36
31	3	68.47
31	4	67.56
31	5	67.31
31	6	67.28
31	7	70.65
31	8	79.94
31	9	95.35
31	10	102.87
31	11	106.91
31	12	107.66
31	13	114.06
31	14	117.92
31	15	117.97
31	16	121.82
31	17	124.84
31	18	136.44
31	19	120.01
31	20	110.96
31	21	106.61
31	22	97.51
31	23	91.36
31	24	81.56
32	1	32.63
32	2	22.83
32	3	17.53
32	4	18.24
32	5	17.35
32	6	31.83
32	7	33.71
32	8	32.92
32	9	33.88
32	10	34.21
32	11	33.78
32	12	32.76
32	13	33.65
32	14	33.68
32	15	33.75
32	16	34.5
32	17	34.41
32	18	35.11
32	19	34.48
32	20	68.46
32	21	66.6
32	22	67.0
32	23	39.96
32	24	36.66
33	1	29.98
33	2	19.46
33	3	16.99
33	4	16.99
33	5	16.99
33	6	17.0
33	7	26.21
33	8	42.25
33	9	42.59
33	10	44.0
33	11	36.65
33	12	19.43
33	13	17.0
33	14	20.27
33	15	44.27
33	16	49.14
33	17	54.16
33	18	56.02
33	19	57.71
33	20	58.4
33	21	58.63
33	22	58.05
33	23	57.78
33	24	57.39
34	1	29.98
34	2	19.46
34	3	16.99
34	4	16.99
34	5	16.99
34	6	17.0
34	7	26.21
34	8	42.25
34	9	42.59
34	10	44.0
34	11	36.65
34	12	19.43
34	13	17.0
34	14	20.27
34	15	44.27
34	16	49.14
34	17	54.16
34	18	56.02
34	19	57.71
34	20	58.4
34	21	58.63
34	22	58.05
34	23	57.78
34	24	57.39
35	1	57.36
35	2	54.96
35	3	54.34
35	4	53.88
35	5	53.37
35	6	54.25
35	7	54.97
35	8	57.1
35	9	58.02
35	10	58.67
35	11	58.34
35	12	56.85
35	13	54.82
35	14	54.81
35	15	56.73
35	16	58.58
35	17	59.19
35	18	63.07
35	19	63.93
35	20	60.42
35	21	58.55
35	22	58.24
35	23	57.34
35	24	54.99
36	1	64.56
36	2	63.46
36	3	63.3
36	4	63.11
36	5	63.85
36	6	69.16
36	7	72.41
36	8	95.85
36	9	99.3
36	10	90.91
36	11	83.11
36	12	78.18
36	13	76.17
36	14	73.67
36	15	70.06
36	16	69.01
36	17	69.0
36	18	75.38
36	19	82.33
36	20	99.13
36	21	71.09
36	22	71.41
36	23	68.27
36	24	63.15
37	1	52.23
37	2	48.05
37	3	46.88
37	4	46.12
37	5	46.36
37	6	47.1
37	7	48.34
37	8	53.31
37	9	57.54
37	10	60.89
37	11	61.93
37	12	61.21
37	13	61.5
37	14	61.77
37	15	62.82
37	16	62.23
37	17	66.9
37	18	69.24
37	19	64.28
37	20	60.79
37	21	50.98
37	22	45.43
37	23	42.35
37	24	30.92
38	1	13.22
38	2	5.46
38	3	3.72
38	4	3.25
38	5	15.01
38	6	34.72
38	7	44.12
38	8	46.43
38	9	40.2
38	10	34.03
38	11	19.96
38	12	4.23
38	13	2.95
38	14	4.13
38	15	18.81
38	16	31.95
38	17	35.25
38	18	37.19
38	19	36.52
38	20	35.85
38	21	34.53
38	22	32.44
38	23	27.27
38	24	17.59
39	1	54.27
39	2	50.62
39	3	48.15
39	4	47.26
39	5	45.21
39	6	48.35
39	7	51.3
39	8	55.1
39	9	58.39
39	10	55.64
39	11	53.25
39	12	51.45
39	13	51.24
39	14	51.76
39	15	51.29
39	16	52.8
39	17	53.42
39	18	58.03
39	19	59.51
39	20	59.73
39	21	59.32
39	22	58.75
39	23	56.8
39	24	54.51
40	1	19.45
40	2	20.31
40	3	19.71
40	4	21.45
40	5	22.32
40	6	26.22
40	7	30.96
40	8	35.67
40	9	40.71
40	10	41.25
40	11	41.32
40	12	40.61
40	13	39.43
40	14	41.66
40	15	55.11
40	16	67.88
40	17	62.32
40	18	85.87
40	19	61.42
40	20	56.52
40	21	69.53
40	22	54.66
40	23	41.58
40	24	37.47
41	1	50.09
41	2	48.77
41	3	49.55
41	4	49.56
41	5	52.65
41	6	55.42
41	7	56.66
41	8	59.09
41	9	61.78
41	10	61.68
41	11	61.8
41	12	61.89
41	13	62.61
41	14	62.92
41	15	63.9
41	16	88.97
41	17	105.07
41	18	123.47
41	19	113.66
41	20	104.19
41	21	89.13
41	22	81.83
41	23	64.4
41	24	62.19
42	1	70.66
42	2	64.08
42	3	63.76
42	4	63.89
42	5	61.99
42	6	65.12
42	7	72.92
42	8	79.2
42	9	69.79
42	10	59.48
42	11	54.85
42	12	52.22
42	13	49.92
42	14	47.99
42	15	49.56
42	16	55.14
42	17	58.95
42	18	61.03
42	19	61.59
42	20	59.86
42	21	58.36
42	22	58.01
42	23	56.65
42	24	55.17
